"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADAMTSL2",1.10462348387982e-29,0.424407106248258,0.131,0.031,1.73492164378164e-25
"PIP5K1B",2.40124067823397e-29,0.484585775708861,0.176,0.051,3.77138860923427e-25
"TMOD1",3.82786397162558e-29,0.476036074145227,0.168,0.048,6.01204315383514e-25
"GNB4",4.66845131315824e-29,0.635449264254389,0.226,0.078,7.33226963244633e-25
"ARRB2",1.79931225456213e-28,0.409754112294912,0.103,0.021,2.82599982701527e-24
"TPM3",8.19150394951685e-28,0.690902681913633,0.209,0.071,1.28655761031112e-23
"EGR3",8.47286322001444e-27,0.546882577419026,0.237,0.087,1.33074789733547e-22
"FMNL3",8.55545677674033e-27,0.544589885379129,0.363,0.164,1.34372004135484e-22
"ZNF710",9.20604069139628e-27,0.596941498552991,0.286,0.117,1.4459007509907e-22
"GPCPD1",1.13809976350764e-26,0.640108183281975,0.316,0.138,1.78749948856509e-22
"KCNIP1",3.31142489199401e-26,0.80660051976659,0.353,0.168,5.20092393536579e-22
"FAM102B",6.75313789519889e-26,0.407672736251163,0.125,0.032,1.06064783781994e-21
"ARHGAP12",8.87234603950053e-26,0.645704000672605,0.346,0.16,1.39349066896395e-21
"MKNK1",1.06420989583513e-25,0.491843134473081,0.335,0.15,1.67144806239866e-21
"EPB41",1.19675742415578e-25,0.431624279230838,0.153,0.044,1.87962721037907e-21
"DEPTOR",1.33530996584896e-25,0.501969431150865,0.196,0.067,2.09723783236238e-21
"HAVCR2",2.53939680066519e-25,0.48299402431374,0.185,0.061,3.98837661512475e-21
"MAP3K8",2.97932851927303e-25,0.468644456942952,0.125,0.032,4.67933337237022e-21
"IL17RA",4.93529503560882e-25,0.399961792829432,0.123,0.032,7.75137438292722e-21
"AXL",2.55321199751499e-24,0.616232558362193,0.252,0.102,4.01007476329704e-20
"AP1B1",2.8610035455445e-24,0.516432619828329,0.226,0.085,4.4934921686322e-20
"PRDM11",4.09668815140254e-24,0.461664712670921,0.144,0.042,6.43425841059283e-20
"MYH9",4.34139025236639e-24,0.552492975985479,0.226,0.086,6.81858753036665e-20
"CTTNBP2NL",2.8568974496776e-23,0.4668165268345,0.211,0.078,4.48704313446364e-19
"GNA13",4.05883065034865e-23,0.565113707422599,0.389,0.198,6.37479941943759e-19
"MANBA",2.73757569175827e-22,0.499861088594556,0.267,0.114,4.29963638147554e-18
"RYR1",4.42752362201911e-22,0.508941149233652,0.247,0.103,6.95386860074321e-18
"SP140",9.27671820956164e-22,0.377752970481998,0.11,0.029,1.45700136199375e-17
"NCK2",3.07956658629548e-21,0.575349848453496,0.29,0.133,4.83676728043568e-17
"PRKCB",4.86598925701256e-21,0.573164533815754,0.348,0.175,7.64252272706392e-17
"TPK1",5.57206601707083e-21,0.489600956493678,0.288,0.13,8.75148688641144e-17
"IFNGR2",8.70210848423104e-21,0.390883003295843,0.163,0.056,1.36675315853333e-16
"PTPRE",1.18127072299243e-20,0.529188015437491,0.232,0.097,1.85530379753191e-16
"TGFBR1",1.26138440991573e-20,0.509929306676138,0.151,0.05,1.98113035421365e-16
"TGFB1",1.33438960340583e-20,0.467011998131565,0.148,0.049,2.09579231110919e-16
"FAR2",4.14717667841602e-20,0.392250102017798,0.153,0.052,6.5135556911202e-16
"ST3GAL1",8.92434604531726e-20,0.473687749219345,0.202,0.08,1.40165778987753e-15
