"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC005281.1",0,1.67373623176928,0.271,0.003,0
"ADGB",0,2.77579965518832,0.594,0.002,0
"ADGRD2",0,0.993401208261429,0.165,0,0
"ANXA1",0,3.69209846873944,0.465,0.011,0
"ARMC3",0,3.20801155726179,0.688,0.033,0
"C4orf22",0,5.11239681450499,0.965,0.012,0
"C6orf118",0,1.44076981899902,0.282,0.004,0
"CCDC60",0,1.84484506470046,0.306,0.001,0
"CFAP157",0,3.47150356396742,0.747,0.002,0
"CFAP46",0,2.64813044745458,0.553,0.026,0
"CFAP52",0,2.46777777080449,0.5,0.009,0
"CFAP65",0,1.2574749944038,0.224,0.002,0
"CFAP73",0,2.25191910304772,0.429,0.002,0
"COL8A1",0,2.37837399842912,0.453,0.009,0
"CROCC2",0,1.43268068339458,0.247,0.001,0
"DNAAF1",0,2.87325811159911,0.612,0.014,0
"DNAH11",0,3.35353200441148,0.694,0.008,0
"DNAH3",0,2.37553679987635,0.465,0.004,0
"DNAH5",0,2.47904051108433,0.488,0.014,0
"DNAH9",0,3.95764244097301,0.847,0.066,0
"DNAI1",0,2.53400838799332,0.529,0.013,0
"DNAI2",0,1.96151901242746,0.359,0.003,0
"DTHD1",0,2.60009677138566,0.524,0.008,0
"FHAD1",0,2.32080240798011,0.394,0.008,0
"IQGAP2",0,2.48056177158793,0.394,0.009,0
"LRRC9",0,2.33926125062601,0.524,0.022,0
"MAP3K19",0,1.76606551197953,0.335,0.006,0
"MYLK3",0,1.64060281920997,0.282,0.005,0
"ROPN1L",0,1.47296351624419,0.271,0.002,0
"SLC47A2",0,2.14877327653629,0.412,0.011,0
"SPAG17",0,3.1863305328012,0.647,0.022,0
"SPAG6",0,2.22121888299927,0.4,0.008,0
"TCTEX1D1",0,2.49835311887018,0.529,0.007,0
"TEKT1",0,2.29211359317277,0.465,0.011,0
"TTC29",0,2.65217320720869,0.535,0.014,0
"TTC6",0,2.52526079086698,0.435,0.006,0
"VWA5B1",0,1.51423759083773,0.288,0.002,0
"C11orf88",0,1.08234298162455,0.165,0,0
"RP11-467J12.4",0,1.21274146093578,0.171,0.001,0
"DNAH2",1.65541792827169e-307,1.74849344327944,0.3,0.006,2.59999939814352e-303
"PRR29",4.57151115923891e-307,1.41977235352991,0.206,0.002,7.18001542670063e-303
"EYA4",2.64051804851318e-305,2.54581839763287,0.482,0.02,4.1471976469948e-301
"CFAP100",1.26957465212726e-300,2.14598100078283,0.453,0.017,1.99399394863107e-296
"DCDC1",1.97120007143896e-287,3.13484642852731,0.724,0.055,3.09596683220202e-283
"WDR63",4.95629660987806e-285,2.39651414469919,0.441,0.017,7.78435945547448e-281
"CFAP43",9.78049613599339e-285,3.06231682305378,0.676,0.048,1.53612472311912e-280
"KIAA2012",4.17001572047985e-280,2.49968239443742,0.5,0.024,6.54942669058565e-276
"FAM183A",4.74051119155661e-271,0.948932738852445,0.129,0,7.44544687745881e-267
"LRRC71",1.77714124996124e-269,0.571835915251398,0.118,0,2.79117804718913e-265
"CFAP77",3.13374968779888e-268,1.43055680309162,0.224,0.003,4.92186725965692e-264
"DRC7",3.0797147640357e-264,1.25002798658445,0.224,0.003,4.83700000839447e-260
"LRRIQ1",1.10894192565977e-257,2.88810636329885,0.665,0.051,1.74170418844124e-253
"FAM81B",6.55550219406236e-257,0.805123540053279,0.141,0.001,1.02960717459943e-252
"USP43",2.45104004793565e-256,1.76340684174954,0.288,0.007,3.84960349928773e-252
"NEK5",1.56073320989831e-255,2.23386245049076,0.429,0.019,2.45128757946628e-251
"ZBBX",1.27239796924214e-251,2.32750479963631,0.418,0.018,1.9984282504917e-247
"AGBL1",6.75353930098257e-245,3.36530044326156,0.776,0.079,1.06071088261232e-240
"MAPK15",4.02530169417156e-242,0.978582687983422,0.159,0.001,6.32213884086585e-238
"LMO2",8.84471944049988e-241,2.34238266641979,0.429,0.02,1.38915163532491e-236
"NRG4",6.57821894446278e-228,1.94980258170122,0.394,0.018,1.03317506741732e-223
"CFAP54",8.51382836953254e-225,3.28229988828989,0.8,0.094,1.33718188371878e-220
"VWA3A",1.09561179994188e-223,2.66786836411765,0.659,0.059,1.72076789298872e-219
"CFAP45",1.29775650177336e-223,0.994495775916793,0.118,0,2.03825636168524e-219
"SPATA18",2.01866993577782e-216,1.14749240073396,0.165,0.002,3.17052300113265e-212
"ODF3B",2.01732188265772e-214,1.0562078219512,0.118,0,3.16840574890221e-210
"RSPH1",7.16797773395882e-209,1.89015790104618,0.388,0.019,1.12580258289557e-204
"ROR2",5.61127636580526e-199,1.43272374197573,0.253,0.007,8.81307066013374e-195
"CFAP57",1.25084197539799e-198,1.01561293362667,0.165,0.002,1.96457240656008e-194
"SOCS3",4.02545514960145e-198,1.40386415438249,0.253,0.007,6.32237985796403e-194
"FAM92B",1.6817700874737e-197,0.612100345695061,0.106,0,2.64138809938619e-193
"DNAH12",2.3946291979808e-196,2.33862724611907,0.576,0.05,3.76100461834864e-192
"C1orf87",2.72367174947977e-196,1.62859830865036,0.271,0.009,4.27779884973293e-192
"SPATA17",5.00307521157393e-193,2.09436382591592,0.488,0.035,7.85782992729802e-189
"DRC3",2.84879598177926e-188,2.00953074583495,0.365,0.019,4.4743189689825e-184
"CATSPERD",6.27753673918498e-186,1.11458005282423,0.153,0.002,9.85949920256393e-182
"TTC34",2.87702382545541e-181,1.73357650591339,0.359,0.019,4.51865362026027e-177
"DOC2A",1.42491646716031e-179,2.07539672540352,0.388,0.023,2.23797380332199e-175
"SPAG8",5.86416119973469e-176,1.79666815422497,0.294,0.013,9.21025158030331e-172
"DNAH6",2.54016086186264e-173,2.70054042542916,0.588,0.061,3.98957664964146e-169
"CAPS",1.04326142011592e-168,2.63027377623363,0.494,0.042,1.63854638643407e-164
"DLEC1",7.19710574911488e-165,1.39662940726543,0.259,0.01,1.13037742895598e-160
"SGMS2",2.33629114259057e-162,2.35301753663412,0.424,0.031,3.66937886855275e-158
"LGR6",9.08362709350968e-161,1.44912143056471,0.212,0.007,1.42667447130663e-156
"FOXJ1",4.74121036147247e-160,0.740292549706225,0.112,0.001,7.44654499372866e-156
"DAW1",9.75653383312972e-157,1.25286784161398,0.194,0.005,1.53236120383135e-152
"C1orf158",4.02792471928587e-154,0.623886160639463,0.106,0.001,6.32625856411038e-150
"MARCH10",3.09718820660346e-152,1.17183682667838,0.188,0.005,4.86444379729139e-148
"EFCAB1",2.76138687356516e-151,0.816406053792915,0.141,0.002,4.33703422362144e-147
"PTPRQ",2.20119651431325e-150,1.43367888120786,0.224,0.008,3.45719924538038e-146
"CFAP58",1.94503876341324e-148,1.40799581463786,0.218,0.008,3.05487788181684e-144
"CCDC114",5.11873829249681e-148,1.08994591072975,0.135,0.002,8.03949036219549e-144
"C5AR1",2.93156645962679e-147,1.53791348299148,0.247,0.011,4.60431828148984e-143
"RP11-569D9.5",4.58994055937011e-146,1.01693969540595,0.182,0.005,7.2089606425467e-142
"FAM160A1",1.54655330567454e-143,1.11619885380859,0.176,0.005,2.42901662189243e-139
"ARMC4",1.27690832284172e-142,1.79271127669845,0.318,0.019,2.00551221185521e-138
"OCA2",2.32713607630918e-141,1.10966608883933,0.171,0.005,3.6549999214512e-137
"CATIP",7.31369551294488e-141,0.993709878055806,0.147,0.003,1.14868901726312e-136
"AK7",9.24784866703947e-140,0.846522421198243,0.153,0.004,1.45246711164522e-135
"LRRC46",7.98265526406458e-139,0.814912865915084,0.106,0.001,1.25375583577398e-134
"COL5A1",6.37380753561368e-137,1.13950953742706,0.224,0.009,1.00107021154348e-132
"C8orf34",1.12362296085664e-136,3.02049288089296,0.771,0.145,1.76476222232144e-132
"FANK1",2.11303588465495e-136,2.05006493471592,0.518,0.057,3.31873416043906e-132
"CFAP47",1.24700924940798e-135,2.62418517547965,0.624,0.088,1.95855272712017e-131
"PPP1R42",5.23837399916439e-135,2.22100220306222,0.476,0.049,8.22739020308759e-131
"DRC1",5.51041022283108e-135,1.3338580110737,0.218,0.009,8.65465029597849e-131
"ZMYND10",3.55881092491717e-131,1.14736691238571,0.147,0.004,5.58946843867491e-127
"CFAP61",5.31332847718107e-131,1.62949339164567,0.329,0.023,8.34511370626058e-127
"CFAP74",8.10948775334298e-130,1.01030285191626,0.188,0.007,1.27367614654005e-125
